question,expectedResponse
"Según las consideraciones iniciales del documento (páginas 1–10), ¿cuáles son los propósitos principales y las modificaciones clave que buscan estas Disposiciones de carácter general en materia financiera de los Sistemas de Ahorro para el Retiro?","Propósitos principales: procurar que todas las operaciones de inversión se realicen exclusivamente en interés de los Trabajadores; establecer un marco legal uniforme y armónico (p. ej. para Fondos Generacionales/TDF); fortalecer la administración de riesgos y la transparencia; y canalizar inversiones que contribuyan al crecimiento económico nacional. Modificaciones y cambios clave señalados: inclusión obligatoria de factores ESG; ajustes metodológicos (modificación del Coeficiente de Liquidez y precisiones al límite anual del Error de Seguimiento); reglas operativas y de gobernanza para Fondos Mutuos, Fondos Estructurados e Instrumentos Bursatilizados; parámetros y requisitos para operaciones con derivados privilegiando cobertura y evitando especulación; requisitos de gobernanza y límites de costos para instrumentos alternativos; posibilidad de invertir en emisiones de Pymes y reglas para Certificados Bursátiles Fiduciarios de Proyectos; fortalecimiento de medidas de liquidez (PID); exigencia de certificación y capacitación (incluida formación ASG y refrendo de certificación) para funcionarios; obligaciones sobre prospectos y folletos informativos; lineamientos sobre continuidad de negocio (BCP/DRP); y actualizaciones operativas como la inclusión del yuan offshore en las divisas permitidas. Última modificación señalada: 22 de mayo de 2024."
"Según las Disposiciones, ¿qué es el ""Coeficiente de Liquidez"" y en qué Anexo se encuentra la metodología para su cálculo?","El Coeficiente de Liquidez es el parámetro de liquidez mínima correspondiente al valor de la Provisión por Exposición en Instrumentos Derivados (PID) respecto de los Activos para Financiar la operación con Derivados (AFD), previsto para mitigar los requerimientos de liquidez ocasionados por las posiciones en derivados. La metodología y las definiciones de las variables para su cálculo se encuentran en el Anexo N."
"Según el Artículo 2 quáter del segmento, ¿qué actividades debe permitir realizar el Sistema Integral Automatizado y cuáles son, al menos, cuatro requisitos de seguridad y control que debe cumplir dicho sistema?","El Sistema Integral Automatizado debe permitir: a) adquisición y enajenación de Activos Objeto de Inversión; b) registro en línea de dichos activos; c) administración de riesgos; d) confirmación de operaciones; e) asignación de operaciones; f) liquidación de operaciones; g) registro contable de la Sociedad de Inversión; h) generación de estados financieros; e i) las demás funciones requeridas para la gestión integral de las carteras (incluyendo las establecidas en los Manuales de Políticas y Procedimientos). Entre los requisitos de seguridad y control se indican: i) acceso restringido por usuarios y perfiles conforme a responsabilidades, con credenciales intransferibles y políticas de acceso documentadas y auditables; ii) evidencia inviolable (huellas de auditoría) con fecha y hora que identifique a los usuarios en las distintas actividades; iii) soporte técnico permanente y oportuno para resolver problemas técnicos, operativos o de modelación; y iv) una estructura de base de datos que permita cumplir las disposiciones aplicables sobre contabilidad y presentación de estados financieros."
"Según las Disposiciones del texto, ¿cómo debe integrarse y funcionar el Comité de Riesgos Financieros de cada Sociedad de Inversión en cuanto a composición, presidencia, frecuencia de sesiones, quórum, ausencias y formalización de las actas pormenorizadas?","Composición: al menos el Responsable del Área de Riesgos, un Consejero Independiente y uno no independiente (que no sean miembros del Comité de Inversión) y el director general de la Administradora que opere la Sociedad de Inversión. Presidencia: a cargo del director general de la Administradora o de un Consejero Independiente. Frecuencia: deberá sesionar cuando menos una vez al mes. Quórum y validez: las sesiones son válidas sólo si cuentan con quórum del 80% de sus miembros con voto, dentro de los cuales debe asistir el director general de la Administradora y un Consejero Independiente. Ausencias: la ausencia del Consejero Independiente o del director general sólo podrá excusarse en dos ocasiones por año calendario; el Comité debe designar un responsable durante la ausencia únicamente para tales efectos. Actas pormenorizadas: deben estar a disposición de la Comisión (pueden ser estenográficas o grabaciones seguras), el secretario debe elaborarlas e integrarlas, y deben estar firmadas por todos los asistentes en un plazo máximo de 45 días naturales posteriores a la sesión."
"Según el Artículo 14 del segmento, mencione cinco actividades que debe permitir realizar el Sistema Integral Automatizado para la UAIR.","1) Evaluar el Riesgo Financiero de la cartera (por activo, clase de activo, factor de riesgo y cartera total) conforme a metodologías aprobadas; 2) Realizar pruebas de cartera bajo escenarios de estrés (históricos, hipotéticos, crisis históricas y 'what if', con duración mínima de seis meses); 3) Monitorear diariamente el porcentaje de uso y capacidades de los Límites Regulatorios y Límites Prudenciales y calcular las Alarmas Tempranas aprobadas; 4) Calcular el Valor en Riesgo de mercado mediante distintas metodologías para la cartera completa, subcarteras y activos específicos; 5) Generar simulaciones estocásticas tipo Montecarlo para precios de valuación y factores de riesgo."
"Según el segmento proporcionado, ¿cuáles son, de manera resumida, las políticas mínimas que debe prever la Estrategia de Inversión de cada Sociedad de Inversión y qué requisitos de vigencia, revisión y documentación debe contener dicha Estrategia?","La Estrategia de Inversión debe prever, agregadamente para la cartera de cada Sociedad de Inversión: (I) características de liquidez de los Activos Objeto de Inversión; (II) calidad crediticia de los Activos Objeto de Inversión (Instrumentos de Deuda, Valores Extranjeros de Deuda, estructuras vinculadas, inversiones neutras, vehículos y contrapartes); (III) sensibilidad de la cartera ante cambios en los Factores de Riesgo definidos por el Comité de Riesgos Financieros; (IV) los Vehículos y mecanismos de inversión autorizados; (IV bis) políticas y criterios de elegibilidad para Emisiones Pymes; (V) identificación de los Activos que integran el Activo Total (ej. Valores Extranjeros, Inversiones Neutras, Instrumentos Estructurados, FIBRAS, VEH. inmobiliarios, mercancías, divisas, derivados); (VI) las Clases de Activo, mecanismos autorizables y los porcentajes objetivo respecto del Activo Total; (VII) políticas ASG cuando aplique; (IX) requerimientos extraordinarios de liquidez bajo escenarios de estrés. El Comité de Inversión debe además especificar cómo se computan los porcentajes de la fracción VI (valor a mercado, Valor Delta Equivalente u otra medida) y emplear medidas de liquidez, crédito y mercado definidas por el Comité de Riesgos Financieros. La Estrategia debe indicar su vigencia, la periodicidad de revisión por el Comité de Inversión y el margen máximo de desviación permitido al área de inversiones para cada política; todo ello debe quedar asentado en las Actas Pormenorizadas del Comité de Inversión."
"Según la fracción XVIII del texto, ¿cuál es el monto máximo que puede invertirse en cada Instrumento Estructurado y qué condiciones deben cumplirse si el Comité de Inversión decide modificar ese límite?","El monto máximo a invertir en cada Instrumento Estructurado no debe ser superior al equivalente al 2% del Activo Total correspondiente al conjunto de las Sociedades de Inversión Básicas elegibles para inversiones en Instrumentos Estructurados operadas por la misma Administradora. El Comité de Inversión puede modificar ese límite porcentual, pero la modificación debe: ser revisada y aprobada para cada Instrumento Estructurado (considerando series o subseries como instrumentos independientes); contar con el voto favorable de los Consejeros Independientes; y quedar claramente asentada en el Acta Pormenorizada de la sesión correspondiente."
"Según el Artículo 34 del segmento, ¿qué aspectos deberá definir, aprobar y dar seguimiento el Comité de Inversión cuando la Administradora tenga la no objeción para operar con Derivados, y con qué periodicidad debe el Responsable del Área de Inversiones presentar la información relacionada?","El Comité de Inversión debe, entre otros: 1) definir los subyacentes, plazos y tipos de operaciones con Derivados; 2) definir mercados, plataformas y contrapartes; 3) establecer una política de administración de garantías (tipos, montos mínimos, metodología de seguimiento; el umbral para operaciones extrabursátiles será cero); 4) dar seguimiento al límite máximo de apalancamiento definido por el Comité de Riesgos Financieros; 5) monitorear la exposición y valor mercado de las operaciones consideradas en los anexos correspondientes; 6) fijar criterios para operación, compra/venta y confirmación en mercados de derivados; 7) definir y dar seguimiento a las Asignaciones Tácticas mediante derivados (objetivo, operaciones, subyacentes, precios de ejercicio y vencimientos; operaciones cuyo objetivo sólo podrá ser cobertura, rebalanceo o reducción del Error de Seguimiento); 8) contar con el análisis del riesgo de liquidez por posiciones en derivados, incluyendo cálculo de PID, AFD y Coeficiente de Liquidez y efectos por escenarios de estrés; 9) definir la política de cobertura de activos denominados en las divisas de los Grupos I, II y III del Anexo D (porcentajes de cobertura, políticas de seguimiento y acciones correctivas). Además, quedan prohibidas las coberturas indirectas (“proxy hedge”). Periodicidad de presentación por el Responsable del Área de Inversiones: anualmente la información de las fracciones I, II, IV, VI, VII y X; cuatrimestralmente la de las fracciones III, V y IX; y mensualmente la de la fracción VIII, presentándose en la sesión inmediata posterior al cumplimiento de cada periodicidad."
"Según los artículos 44 y 45, ¿cómo debe integrarse y operar el Comité de Inversión, incluyendo requisitos de membresía, quórum, votación, manejo de empates, sesiones, actas pormenorizadas y registro de conflictos de interés?","Integración y membresía: debe tener al menos cinco miembros, entre ellos un Consejero Independiente, el director general de la Administradora, un consejero no independiente y el Responsable del Área de Inversiones, más los demás miembros que designe el Órgano de Gobierno. Quórum y sesiones: debe sesionar cuando menos una vez al mes; las sesiones son válidas sólo con quórum del 80% de los miembros con voto e incluyen necesariamente la asistencia del director general y de un Consejero Independiente (la ausencia de cualquiera de estos sólo podrá excusarse en dos ocasiones por año calendario y el Comité deberá designar un responsable durante la ausencia, sólo para tales efectos). Votación y empates: cada miembro tiene un voto; la aprobación se hace por mayoría de votos; los miembros deben establecer un procedimiento interno para resolver empates; para asuntos que requieren opinión de Consejeros Independientes debe cumplirse con esos requisitos y, si los Consejeros Independientes están empatados, el Comité debe haber definido previamente quién tiene voto de calidad entre ellos. Actas y conflictos: las decisiones y cualquier Conflicto de Interés (según artículo 44) deben constar de manera expresa en las Actas Pormenorizadas; las actas pueden ser estenográficas o grabadas con medios que mantengan la integridad de la información y deben elaborarlas y integrarlas el secretario del Comité; la Comisión puede requerir más información; las Actas Pormenorizadas deben estar firmadas por todos los asistentes dentro de un plazo máximo de 45 días naturales posteriores a la sesión y mantenerse a disposición de la Comisión."
"De acuerdo con los artículos citados en las páginas 91-100 del segmento, ¿qué situaciones presumen la existencia de un Conflicto de Interés real y potencial, y cómo deben detectarse, registrarse y denunciarse dichos conflictos dentro de la Administradora?","Presunción de Conflicto de Interés real (art. 66 bis, salvo prueba en contrario): i) cuando el Funcionario/Consejero deba tomar decisiones respecto de personas morales sobre las que tenga Control, Poder de Mando o influencia significativa; ii) cuando dichas características las tengan su cónyuge, concubina/concubinario, parientes hasta cuarto grado, socios o copropietarios; iii) cuando mantenga inversiones personales en la persona moral (directas, vía derivados o vehículos donde pueda decidir selección/asignación de subyacentes); iv) cuando tenga información privilegiada conforme a la Ley del Mercado de Valores; v) otras situaciones previstas en el código de buenas prácticas o código de ética. Presunción de Conflicto de Interés potencial (art. 66 ter): se aplica si el Funcionario/Consejero se encuentra en cualquiera de las circunstancias anteriores y, por sus responsabilidades, podría en el futuro tomar decisiones o ejecutar funciones que deriven en un conflicto real. Detección y registro (art. 65): el código de buenas prácticas debe exigir que Funcionarios, Consejeros Independientes, miembros del Consejo, Comités y cualquier individuo que labore para la Administradora informen al Contralor Normativo sobre conflictos reales o potenciales; el Contralor Normativo debe actualizar y mantener una lista (mínimo: naturaleza del conflicto, nombres e posición dentro de la Administradora y las Sociedades de Inversión) disponible para la Comisión. Denuncia (art. 66 quáter): las Administradoras deben establecer vehículos o canales internos, seguros y confidenciales para que los Funcionarios, Consejeros y demás informen al Órgano de Gobierno sobre comportamientos irregulares, poco éticos, actos de corrupción o incumplimientos regulatorios."
"Según el Artículo 96 bis del segmento, en qué casos deben las Administradoras valuar los Activos Objeto de Inversión conforme a la metodología autorizada por el Comité de Riesgos Financieros y qué obligación de información deriva de ello?","Deben valuar conforme a la metodología autorizada y documentada por el Comité de Riesgos Financieros en: (I) activos cuyo precio no pueda ser proporcionado por el Proveedor de Precios o Custodio por la cancelación de su listado en una bolsa autorizada o en mercados regulados de los Países Elegibles para Inversiones; y (II) cuando se hagan efectivas garantías de activos reales o no negociados en un mercado público y por tanto no tengan precio proporcionable. Además la metodología debe quedar documentada y formalizada, y las Administradoras deben enviar la información diariamente a la Comisión por los medios y lineamientos que ésta establezca."
"De acuerdo con las Disposiciones en las páginas 111-120: a) ¿Qué requisitos y autorizaciones debe tener una Administradora para que las Sociedades de Inversión puedan operar con Derivados y cuál es la vigencia de la no objeción de la Comisión? b) ¿Qué obligaciones mínimas tienen la UAIR y los operadores respecto a la logística/ejecución, registro y confirmación de operaciones con Derivados? c) ¿Qué requisitos documentales deben cumplir las operaciones extrabursátiles y con qué contrapartes pueden celebrarse? d) ¿Qué procede si la Comisión detecta incumplimiento y qué plazo existe para solicitar la renovación de la no objeción?","a) La Administradora debe cumplir los requisitos de las fracciones I a III (incluyendo certificaciones con vigencia según Anexo J y requisitos adicionales del Anexo AA según estrategia/mercado), informar a la Comisión para su verificación y obtener la no objeción; ésta se mantiene vigente por 3 años siempre que la Administradora continúe cumpliendo. Además, si carece de las certificaciones de la fracción II del art.122 debe suspender operaciones y presentar a la Comisión, a más tardar el día hábil siguiente, un programa que contemple la designación de un nuevo Operador/funcionario certificado o encargado del control y registro. b) La UAIR debe determinar la logística mínima (límites de contraparte, por emisor, por mercados listados/extrabursátiles, por operador y límites de VaR marginal y total). Los operadores, en cada operación, deben celebrar por cuenta de la Sociedad, documentar/confirmar operaciones (cartas de confirmación si aplica), calcular el VaR marginal de la operación y de la cartera con la UAIR, informar diariamente a UAIR, al director general y a control/registro, y reportar en cada sesión al Comité de Riesgos y al Comité de Inversiones. Sólo el personal de control y registro puede confirmar/conciliar: revisar contratos con jurídico, llevar registro contable, administrar cuentas de margen/garantías y liquidar operaciones. c) Las operaciones extrabursátiles deben formalizarse mediante contratos marco aprobados (p. ej. ISDA/ISMA u otras organizaciones reconocidas) traducidos al español, con suplemento sobre funcionarios autorizados y un acuerdo de manejo de colaterales (CSA) y mantenerse actualizados; las contrapartes permitidas son intermediarios financieros autorizados en Bolsas de Derivados supervisadas de Países Elegibles o intermediarios de Países Elegibles con las calificaciones crediticias que determine la Comisión. Para operaciones extrabursátiles sin Proveedor de Precios, se requiere someter la operación al Comité de Riesgos para aprobación y, en su caso, conocimiento del Comité de Inversión. d) Si la Comisión detecta incumplimiento notificará y ordenará la suspensión de todas las operaciones con Derivados; durante la suspensión no podrán celebrarse nuevas operaciones salvo las necesarias para recomponer cartera; la Administradora debe corregir el incumplimiento según lo requerido. Para renovar la no objeción, la Administradora debe enviar la solicitud seis meses antes del vencimiento, además de contar con todas las operaciones amparadas por contrato marco, registradas, contabilizadas, confirmadas e incluidas en los reportes y cumplir con los informes de seguimiento de la UAIR y lo establecido en el Manual y Anexo AA."
"Cuando se degrada la calificación crediticia de un Activo Objeto de Inversión o de una Contraparte, ¿qué medidas inmediatas, notificaciones y procedimientos debe seguir la Sociedad de Inversión según los artículos 144 a 150 de las Disposiciones?","Medidas y procedimiento clave: 

1) Medidas inmediatas (Art. 144):
- Abstenerse de adquirir activos de la misma emisión, realizar depósitos o celebrar nuevas operaciones con la contraparte si con ello se violan los límites por emisor.
- Si la degradación desplaza el activo a otra categoría y se exceden los porcentajes permitidos, abstenerse de nuevas adquisiciones u operaciones con contrapartes de esa categoría salvo que queden garantizadas en su totalidad.
- Si la calificación baja por debajo del mínimo permitido, computarlo en la categoría mínima autorizada; no mantener depósitos en instituciones con calificación inferior a la mínima.
- Si una calificadora deja de emitir la calificación y quedan menos de dos calificadoras válidas, abstenerse de nuevas adquisiciones u operaciones con esos emisores/contrapartes.

2) Notificaciones (Art. 145):
- El Responsable del Área de Riesgos debe notificar al Comité de Riesgos Financieros y al Comité de Inversión el día hábil siguiente a la degradación.
- El contrato con Mandatarios debe prever que éstos informen oportunamente eventos de este tipo.
- Debe notificarse a la Comisión el día hábil siguiente cuando: a) un activo cambie de límite y incumpla límites regulatorios; b) un activo con calificación inferior a la mínima sea degradado a nivel de incumplimiento; c) un activo o contraparte deje de contar con las calificaciones mínimas provistas por al menos dos calificadoras.

3) Análisis y decisiones (Arts. 146–147):
- El Comité de Riesgos Financieros prepara estudio que incluya descripción del activo/contraparte, opinión sobre calidad crediticia, impacto en la cartera y lo presenta en la sesión inmediata siguiente (salvo excepciones de plazo corto).
- El Comité de Inversión decidirá conservar el activo o recomponer la cartera.

4) Plazos y seguimiento (Arts. 148–150):
- Si se opta por conservar, la Sociedad debe notificar a la Comisión la estrategia en un plazo máximo de 20 días hábiles; la opinión sobre calidad crediticia se actualizará trimestralmente.
- Si se opta por recomponer, el Comité de Inversión debe dejar constancia del programa (activos a enajenar y plazo) y notificarlo a la Comisión en máximo 20 días hábiles; el cumplimiento del programa es obligatorio.
- Si no se cumple el plazo de notificación o presentación del programa, la Administradora deberá cubrir las minusvalías diarias desde el evento hasta la notificación, con cargo a la reserva especial o su patrimonio."
"De acuerdo con los artículos 162–164 y 166–174 del segmento, explique (i) qué información mínima debe contener un programa de recomposición de cartera; (ii) los plazos para enviarlo a la Comisión según el tipo de incumplimiento/exceso; y (iii) qué obligaciones tiene la Administradora si no se notifica o no se envía el programa y cómo se cubren las minusvalías.","(i) Contenido mínimo del programa de recomposición:
- Activos objeto de inversión que deberán enajenar o comprar.
- Flujos netos / nueva recaudación que ingresen o egresen (o la inversión de nuevos recursos).
- Propuesta de plazo para la recomposición de la cartera.
(Además, el programa debe constar en el Acta Pormenorizada de los Comités correspondientes.)

(ii) Plazos para envío a la Comisión:
- Cuando se aplica lo previsto en el artículo 162: la Sociedad de Inversión, a través del Comité de Inversión, deberá enviar el programa a la Comisión en un plazo no mayor a 5 días hábiles contados desde el origen del incumplimiento; la Comisión podrá fijar el plazo de recomposición, que no podrá exceder de seis meses (previa opinión del Comité de Análisis de Riesgos).
- Para excesos por Diferencial del VaR Condicional, Coeficiente de Liquidez, PID, Error de Seguimiento o VaR (Sección IV): el Responsable del Área de Riesgos debe notificar a la Comisión y a los Comités el día hábil siguiente al exceso; el programa, previo visto bueno del Comité de Riesgos Financieros, deberá enviarse en un plazo no mayor a 20 días hábiles desde que se origine el incumplimiento; la Comisión puede fijar un plazo de recomposición hasta seis meses (salvo programas especiales).
- En eventos de extrema volatilidad la Sociedad puede presentar un programa de recomposición especial cuya duración máxima es de seis meses (prorrogable según criterios de la Comisión).

(iii) Obligaciones de la Administradora y cobertura de minusvalías:
- Si no se presenta la notificación exigida (art.160/166) dentro del plazo, la Administradora que opera la Sociedad deberá cubrir las minusvalías diarias ocurridas entre el día del incumplimiento y el día en que se presente la notificación (art.164/172).
- Si no se envía el programa de recomposición dentro del plazo correspondiente, la Administradora cubrirá las minusvalías diarias desde el día del incumplimiento hasta la presentación del programa.
- En todo caso la Administradora debe cubrir las minusvalías ocurridas el día del incumplimiento aun cuando se presente la notificación o el programa con posterioridad.
- Las minusvalías se cubrirán con cargo a la reserva especial constituida conforme al artículo 28 de la Ley y, si ésta resulta insuficiente, con cargo al capital social o patrimonio de la Administradora (o de la Sociedad, según el artículo aplicable).
- Si el incumplimiento es imputable a la Sociedad/Administradora, deberá cubrirse hasta presentar el programa y no se concede plazo adicional; la reiteración en la falta de presentación agrava la sanción."
"De acuerdo con el texto, ¿qué obligaciones deben establecerse en el contrato cuando se contraten servicios informáticos y qué elementos mínimos deben contener los planes de contingencia del proveedor?","El contrato debe establecer que el proveedor de servicios informáticos cuente con mecanismos de encriptación necesarios para mantener la confidencialidad de la información y los registros electrónicos propiedad de la Administradora o de las Sociedades de Inversión. Además, el proveedor deberá contar con planes de contingencia que aseguren la estabilidad operativa, considerando al menos: a) protección de las instalaciones del prestador de servicios; b) plan de desastres; y c) pruebas periódicas de respaldo de información."
"Para Instrumentos Estructurados que pretendan emitir más de 2,000 millones de pesos, ¿qué requisito adicional deben cumplir respecto al oficial de cumplimiento y cuáles son, al menos, tres funciones que deberá desempeñar ese oficial independiente según el texto?","Deben contar con un oficial de cumplimiento independiente designado por la asamblea de tenedores del Instrumento Estructurado y contratado por el fiduciario; sus honorarios deben pagarse por el fiduciario con cargo al patrimonio del fideicomiso para mantener su independencia. Entre sus funciones deben estar: vigilar que los costos y gastos del fideicomiso correspondan únicamente a los necesarios y a los conceptos divulgados al público inversionista; validar el porcentaje de co-inversión en los proyectos e inversiones del fideicomiso; dar seguimiento y validar la información sobre los montos efectivamente invertidos por el administrador respecto a los montos autorizados, los montos de desinversión y la validación de los flujos de capital del fideicomiso; además de supervisar el cumplimiento del Instrumento Estructurado con la normativa aplicable y los lineamientos y manuales internos."
"Explique cuándo y cómo la Comisión verifica el porcentaje de inversión dentro del territorio nacional de los Certificados Bursátiles Fiduciarios de Proyectos de Inversión, cómo se calcula ese porcentaje (qué componentes se consideran) y cuál es el tratamiento cuando el porcentaje es igual o superior al definido versus cuando es menor. Indique además la excepción aplicable desde la fecha de emisión hasta la primera verificación y cómo se computan las estrategias de crédito transferidas o de nueva creación.","La Comisión verifica el porcentaje al cierre de abril de cada año usando la información recibida hasta el cierre de diciembre del año inmediato anterior, y mantiene dicho porcentaje hasta la siguiente revisión; la verificación se realiza a Certificados Bursátiles Fiduciarios de Proyectos de Inversión con fecha de emisión mayor a un año. Cálculo: se toma el capital efectivamente invertido por cada serie/subserie en actividades/proyectos dentro del territorio nacional respecto del total del capital efectivamente llamado por cada serie/subserie (incluyendo la emisión en la que participa la Sociedad de Inversión, las Llamadas de Capital asociadas y el financiamiento por deuda tipo Subscription Credit Facility); además se considera la parte proporcional del capital efectivamente invertido por los coinversionistas en proyectos nacionales respecto a su participación en el mismo fondo/vehículo; para el cómputo se compara el capital efectivamente invertido en México contra el capital efectivamente llamado más el saldo insoluto del financiamiento por deuda, y se toma en cuenta la parte proporcional del capital extranjero efectivamente invertido en proyectos dentro de México (no se considera el capital comprometido). Tratamiento: si la inversión nacional es igual o mayor al porcentaje definido, los Certificados no se contabilizan dentro del límite previsto en la Disposición Décima Sexta, fracción I, inciso d); si es menor, esos instrumentos se contabilizarán a valor de mercado dentro de dicho límite. Excepción: desde la fecha de emisión y hasta la primera verificación de criterio realizada por la Comisión, el Certificado no computará dentro del límite indicado. Computo de créditos/deuda: a) estrategias de créditos o deuda transferidas de otra entidad al certificado se contabilizan por el monto aportado por el instrumento sin considerar la coinversión; b) estrategias de créditos o deuda de nueva creación dirigidas a empresas nacionales consideran tanto el monto invertido directamente por el instrumento como la coinversión."
"Según el Anexo H (págs. 172–173), ¿cómo se calcula el porcentaje total de activos objeto de inversión denominados en Unidades de Inversión (MPIInflacionaria)? Explique la fórmula y el significado de sus componentes, el tratamiento de posiciones en derivados (call, futuro/forward, put y swaps) y las reglas de neteo entre la Sociedad de Inversión y sus Mandatarios.","MPIInflacionaria se calcula como: MPIInflacionaria = (MPIInfSI + ∑_{i=1}^{SM} MPIInfi) / Activo. Donde: MPIInfSI es el valor de mercado de las posiciones en Activos Objeto de Inversión denominados en UDI (o cuyos intereses garanticen rendimiento ≥ UDI/INPC) que forman parte del Activo Administrado por la Sociedad de Inversión; MPIInfi es el valor equivalente para el i-ésimo Mandatario; SM es el número de Mandatarios; Activo es el Activo Total de la Sociedad de Inversión. Para la Sociedad de Inversión Básica 1, MPIInfSI y MPIInfi no podrán ser negativos (no se permite posición neta corta). El cómputo usa valor a mercado: para activos no derivados se toma directamente su valor a mercado; para derivados se aplica: (a) call, futuro y forward: sumar su valor a mercado si la posición es larga y restar si es corta; (b) put: sumar su valor a mercado si la posición es corta y restar si es larga; (c) swaps con subyacente UDI/INPC: sumar si se está en posición larga respecto a la tasa ligada al nocional en UDI (o instrumentos referenciados), y restar si se está en posición corta. Las posiciones del Activo Administrado por la Sociedad y las de cada Mandatario se consideran de manera independiente (no se compensan entre ellas)."
Explique: 1) cuáles son las dos opciones que tienen los Funcionarios para renovar o revalidar una certificación cuyo plazo está por vencer y qué límite existe una vez vencida la vigencia; 2) qué áreas debe cubrir obligatoriamente el Programa de Refrendo de Certificación y qué requisito general sobre la documentación debe cumplir el Programa; y 3) al menos cinco funciones o requisitos mínimos que debe ofrecer o registrar la plataforma tecnológica que administre el Programa.,"1) Opciones de renovación/revalidación: a) Actualizar la certificación mediante la evaluación correspondiente conforme a los exámenes y certificaciones referidos en el Capítulo I; b) Acreditar el Programa de Refrendo del Capítulo II, siempre que la gestión y acreditación se concluyan antes del término de la vigencia de la certificación; si no se concluye, deberá actualizarse según la opción a). Una vez vencida la vigencia, ningún Funcionario podrá acumular más de 60 días hábiles sin haber aprobado algún proceso de renovación o revalidación previsto en las opciones anteriores. Además, si la certificación requerida corresponde a un área de especialización distinta a las certificaciones previas, el Funcionario no podrá usar el Programa de Refrendo. 2) Áreas que debe cubrir el Programa: (a) Inversiones (selección y asignación de activos, análisis económico/financiero, operadores y administradores de portafolio); (b) Áreas de apoyo (registro, asignación, liquidación, control, confirmación, contabilidad, tesorería y finanzas); (c) Unidad de Administración Integral de Riesgos (UAIR); (d) Contraloría Normativa. Requisito de documentación: todos los requisitos y asuntos relevantes del Programa deben quedar documentados en un manual de políticas para su integración y modificación; el Programa debe notificarse a la Comisión y ser revisado/ratrificado por el Consejo de Administración al menos una vez al año. 3) Funciones/requisitos mínimos de la plataforma tecnológica (al menos cinco): permitir registro previo y acceso remoto a los cursos; proporcionar al Funcionario el resultado de la evaluación; contar con una base de datos de empleados con campos como nombre, Administradora, puesto, área, perfil del puesto, certificaciones exigidas, certificaciones acreditadas y su vigencia, horas acreditadas por curso, alertas sobre falta de horas o vigencia vencida e historial de cursos y calificaciones; proporcionar estadísticas del Programa y de cada curso (porcentaje de aprobación, cursos concluidos/sin concluir); emitir reportes trimestrales a las Administradoras con inscritos, porcentaje de aprobación, horas acreditadas por Funcionario y certificaciones acreditadas y su vigencia; expedir constancias cuando se acrediten horas, asistencia y evaluación; y asegurar medidas de seguridad, verificación de identidad y mecanismos para garantizar la imparcialidad y veracidad de las evaluaciones."
"Según el segmento proporcionado, ¿qué se entiende por Activos para Financiar la operación con Derivados (AFD) y cuáles activos no se permiten como AFD?","Los Activos para Financiar la operación con Derivados (AFD) son: I) Instrumentos de deuda emitidos o avalados por el Gobierno Federal y los emitidos por el Banco de México con vencimiento ≤ 1 año; II) Valores extranjeros de deuda con vencimiento ≤ 1 año emitidos por gobiernos de Países Elegibles para Inversiones que cuenten con calificación mínima equivalente a AA+ en escala global (o escalas equivalentes); III) Depósitos en efectivo en bancos, custodios o socios operadores en la divisa en cuestión; IV) Montos de operaciones de reporto con plazo a un día (considerados actualmente solo para requerimiento de liquidez en moneda nacional según la Ley); V) Aportaciones Iniciales Mínimas (AIMs) excedentes. No se permiten como AFD los activos que ya estén en garantía o en tránsito —por ejemplo depósitos en efectivo con socios liquidadores o instrumentos de deuda/valores extranjeros de deuda comprometidos (explícita o implícitamente) como garantía o como enaltecedor crediticio en cualquier transacción."
